RK,TEAM,TOTAL_DVOA,LAST_YEAR,WEI_DVOA,RK,W-L,OFF_DVOA,OFF_RK,DEF_DVOA,DEF_RK,ST_DVOA,ST_RK
1,BAL,41.4%,1,45.7%,1,12-5,35.1%,1,-8.1%,6,-1.9%,23
2,DET,34.8%,7,31.5%,2,15-2,19.9%,3,-9.5%,5,5.4%,1
3,GB,24.5%,13,30.2%,3,11-6,17.3%,4,-7.1%,7,0.2%,15
4,BUF,22.7%,3,21.1%,6,13-4,20.7%,2,-4.7%,11,-2.7%,28
5,PHI,21.3%,14,28.2%,4,14-3,4.8%,13,-16.2%,1,0.3%,14
6,DEN,16.3%,24,21.6%,5,10-7,-0.4%,16,-12.4%,4,4.4%,4
7,MIN,16.1%,23,9.5%,11,14-3,2.9%,15,-15.5%,2,-2.3%,27
8,KC,14.7%,5,9.9%,10,15-2,10.8%,8,-2.7%,12,1.2%,12
9,LAC,12.6%,19,15.2%,7,11-6,7.5%,12,-5.0%,9,0.1%,16
10,WAS,11.5%,31,12.8%,8,12-5,13.3%,6,3.8%,23,2.1%,9
11,TB,9.4%,18,7.9%,13,10-7,12.7%,7,1.2%,16,-2.1%,26
12,ARI,8.8%,29,7.7%,14,8-9,8.4%,11,-0.6%,14,-0.2%,18
13,CIN,7.0%,11,9.0%,12,9-8,14.0%,5,6.4%,27,-0.5%,20
14,SF,6.7%,2,-0.2%,18,6-11,10.6%,9,-1.6%,13,-5.6%,31
15,PIT,6.3%,9,1.7%,15,10-7,-5.1%,19,-6.0%,8,5.3%,2
16,HOU,5.3%,12,-0.1%,17,10-7,-12.4%,26,-15.3%,3,2.3%,8
17,LAR,5.1%,17,11.7%,9,10-7,9.8%,10,4.4%,26,-0.2%,19
18,SEA,2.3%,16,-1.9%,19,10-7,-3.9%,18,-4.9%,10,1.3%,10
19,IND,-7.1%,20,-8.7%,21,8-9,-5.1%,20,0.9%,15,-1.1%,21
20,ATL,-7.3%,28,-14.1%,25,8-9,4.4%,14,7.5%,29,-4.1%,29
21,MIA,-9.8%,6,1.4%,16,8-9,-9.1%,22,1.9%,19,1.2%,11
22,NO,-10.6%,15,-23.0%,27,5-12,-9.7%,23,3.5%,21,2.6%,7
23,NYJ,-11.4%,25,-10.0%,22,5-12,-6.0%,21,3.5%,20,-2.0%,24
24,DAL,-11.6%,4,-6.7%,20,7-10,-12.3%,25,3.9%,24,4.6%,3
25,CHI,-12.7%,22,-10.8%,23,5-12,-13.1%,27,3.7%,22,4.1%,5
26,JAX,-17.7%,10,-13.4%,24,4-13,-2.1%,17,18.6%,31,3.0%,6
27,LV,-19.6%,21,-15.0%,26,4-13,-17.6%,29,1.7%,18,-0.1%,17
28,NYG,-21.9%,30,-24.0%,28,3-14,-13.6%,28,6.6%,28,-1.7%,22
29,NE,-29.7%,27,-25.9%,29,4-13,-18.7%,30,12.1%,30,1.1%,13
30,CAR,-32.9%,32,-27.7%,30,5-12,-11.6%,24,19.2%,32,-2.1%,25
31,TEN,-33.5%,26,-37.4%,32,3-14,-23.4%,31,1.7%,17,-8.4%,32
32,CLE,-39.9%,8,-37.1%,31,3-14,-31.7%,32,4.0%,25,-4.2%,30